Sample	Timepoint	Cluster	Date
X7028	1	1	25-May-14
X8058	1	1	25-May-14
X7054	1	1	27-May-14
X7054	2	1	6-Jun-14
X7143	1	1.1	28-May-14
X7162	1	1.1	28-May-14
X7042	1	1.1	28-May-14
X7177	1	1.2	28-May-14
X7124	1	2	26-May-14
X7019	1	2	26-May-14
X7019	2	2	27-May-14
X7124	1	2	28-May-14
X7296	1	2	7-Jun-14
X7259	1	2	7-Jun-14
X7008	1	2	11-Jun-14
X7082	1	2	14-Jun-14
X7300	1	2	14-Jun-14
X7127	1	2	15-Jun-14
X7063	1	2	15-Jun-14
X7060	1	2	15-Jun-14
X7079	1	2	15-Jun-14
X7039	1	2	15-Jun-14
X7105	1	2	15-Jun-14
X7059	1	2	17-Jun-14
X7275	1	2	17-Jun-14
X7252	1	2.1	3-Jun-14
X7147	1	2.1	4-Jun-14
X7056	1	2.1	14-Jun-14
X7026	1	2.1	15-Jun-14
X7103	1	2.1	15-Jun-14
X7121	1	2.2	27-May-14
X7302	1	2.2	12-Jun-14
X7302	2	2.2	13-Jun-14
X7302	3	2.2	15-Jun-14
X7302	4	2.2	16-Jun-14
X7194	1	2.2	15-Jun-14
X7194	2	2.2	17-Jun-14
X7261	1	2.21	26-May-14
X7261	1	2.21	28-May-14
X7205	1	2.22	14-Jun-14
X7324	1	2.22	16-Jun-14
X7154	1	3	2-Jun-14
X7193	1	3	3-Jun-14
X7106	1	3	3-Jun-14
X7083	1	3	3-Jun-14
X7027	1	3	3-Jun-14
X7011	1	3	3-Jun-14
X7088	1	3	4-Jun-14
X7088	2	3	6-Jun-14
X7088	3	3	8-Jun-14
X7088	4	3	9-Jun-14
X7217	1	3	31-May-14
X7230	1	3	7-Jun-14
X7230	2	3	9-Jun-14
X7100	1	3	12-Jun-14
X7222	2	3	14-Jun-14
X7003	1	3	12-Jun-14
X7158	1	3	14-Jun-14
X7145	1	3	15-Jun-14
X7226	1	3	15-Jun-14
X7226	2	3	20-Jun-14
X7016	1	3	15-Jun-14
X7114	1	3	17-Jun-14
X7068	1	3	18-Jun-14
X7163	1	3	18-Jun-14
X7197	1	3	4-Jun-14
X7197	2	3	9-Jun-14
X7197	3	3	12-Jun-14
X7186	1	3.1	2-Jun-14
X7231	2	3.1	9-Jun-14
X7231	3	3.1	11-Jun-14
X7231	4	3.1	13-Jun-14
X7022	1	3.1	5-Jun-14
X7133	1	3.1	10-Jun-14
X7133	2	3.1	12-Jun-14
X7133	3	3.1	14-Jun-14
X7097	1	3.1	15-Jun-14
X7050	1	3.1	18-Jun-14
X7050	3	3.1	20-Jun-14
X7200	1	3.11	16-Jun-14
X7173	1	3.11	16-Jun-14
X7149	1	3.12	15-Jun-14
X7257	1	3.12	15-Jun-14
X7245	1	3.12	15-Jun-14
X7139	1	3.12	15-Jun-14
X7038	1	3.13	10-Jun-14
X7031	1	3.13	16-Jun-14
X7031	2	3.13	17-Jun-14
X7150	1	3.13	17-Jun-14
X7237	1	3.13	18-Jun-14
X7141	1	3.13	18-Jun-14
X7244	1	3.13	18-Jun-14
X7285	1	3.131	16-Jun-14
X7074	1	3.2	15-Jun-14
X7290	1	3.2	18-Jun-14
X7169	1	3.21	3-Jun-14
X7182	1	3.21	12-Jun-14
X7182	2	3.21	14-Jun-14
X7185	1	3.3	15-Jun-14